tweet_id,algorithm,jpg_url,img_num,confidence,dog,breed,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,dog_class,tweet_source,retweet_count,favorite_count
666020888022790149,1,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,0.465074,True,Welsh_springer_spaniel,2015-11-15 22:32:08+00:00,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,https://twitter.com/dog_rates/status/666020888022790149/photo/1,8.0,10,,,Twitter for iPhone,532.0,2535.0
666029285002620928,1,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,0.506826,True,redbone,2015-11-15 23:05:30+00:00,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7.0,10,A,,Twitter for iPhone,,
666033412701032449,1,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,0.596461,True,German_shepherd,2015-11-15 23:21:54+00:00,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,https://twitter.com/dog_rates/status/666033412701032449/photo/1,9.0,10,A,,Twitter for iPhone,47.0,128.0
666044226329800704,1,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,0.408143,True,Rhodesian_ridgeback,2015-11-16 00:04:52+00:00,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6.0,10,A,,Twitter for iPhone,,
666049248165822465,1,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,0.560311,True,miniature_pinscher,2015-11-16 00:24:50+00:00,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,https://twitter.com/dog_rates/status/666049248165822465/photo/1,5.0,10,,,Twitter for iPhone,41.0,111.0
666050758794694657,1,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,0.651137,True,Bernese_mountain_dog,2015-11-16 00:30:50+00:00,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,https://twitter.com/dog_rates/status/666050758794694657/photo/1,10.0,10,A,,Twitter for iPhone,,
666051853826850816,1,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,0.933012,False,box_turtle,2015-11-16 00:35:11+00:00,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2.0,10,An,,Twitter for iPhone,879.0,1253.0
666055525042405380,1,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,0.692517,True,chow,2015-11-16 00:49:46+00:00,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,https://twitter.com/dog_rates/status/666055525042405380/photo/1,10.0,10,A,,Twitter for iPhone,,
666057090499244032,1,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,0.962465,False,shopping_cart,2015-11-16 00:55:59+00:00,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,https://twitter.com/dog_rates/status/666057090499244032/photo/1,9.0,10,A,,Twitter for iPhone,146.0,304.0
666058600524156928,1,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,0.201493,True,miniature_poodle,2015-11-16 01:01:59+00:00,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,https://twitter.com/dog_rates/status/666058600524156928/photo/1,8.0,10,The,,Twitter for iPhone,,
666063827256086533,1,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,0.77593,True,golden_retriever,2015-11-16 01:22:45+00:00,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,https://twitter.com/dog_rates/status/666063827256086533/photo/1,10.0,10,The,,Twitter for iPhone,232.0,496.0
666071193221509120,1,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,0.503672,True,Gordon_setter,2015-11-16 01:52:02+00:00,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,https://twitter.com/dog_rates/status/666071193221509120/photo/1,9.0,10,,,Twitter for iPhone,,
666073100786774016,1,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,0.260857,True,Walker_hound,2015-11-16 01:59:36+00:00,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,https://twitter.com/dog_rates/status/666073100786774016/photo/1,10.0,10,,,Twitter for iPhone,174.0,335.0
666082916733198337,1,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1,0.489814,True,pug,2015-11-16 02:38:37+00:00,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,https://twitter.com/dog_rates/status/666082916733198337/photo/1,6.0,10,,,Twitter for iPhone,,
666094000022159362,1,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1,0.195217,True,bloodhound,2015-11-16 03:22:39+00:00,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,https://twitter.com/dog_rates/status/666094000022159362/photo/1,9.0,10,,,Twitter for iPhone,79.0,169.0
666099513787052032,1,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,0.58233,True,Lhasa,2015-11-16 03:44:34+00:00,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,https://twitter.com/dog_rates/status/666099513787052032/photo/1,8.0,10,,,Twitter for iPhone,,
